release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
2021,0.587,0.561,0.0,-6.569,1.0,0.146,0.0466,0.0,0.109,0.351,80.009,4.0,243187.0
2020,0.571,0.767,2.0,-5.16,1.0,0.287,0.336,0.0,0.0809,0.605,93.421,4.0,161684.0
2020,0.557,0.565,7.0,-6.12,1.0,0.026,0.229,3.9e-06,0.119,0.187,125.956,3.0,226267.0
2021,0.434,0.889,9.0,-5.684,1.0,0.0509,0.395,0.0,0.273,0.845,113.326,5.0,153338.0
2020,0.581,0.86,7.0,-4.092,1.0,0.039,0.048,0.0,0.169,0.79,148.318,4.0,210480.0
2021,0.545,0.82,8.0,-4.489,1.0,0.275,0.0951,0.0,0.29,0.357,141.908,4.0,150476.0
2021,0.723,0.516,11.0,-10.707,0.0,0.485,0.00311,1.26e-06,0.115,0.223,155.967,4.0,123077.0
2021,0.824,0.764,5.0,-4.175,0.0,0.0854,0.0888,0.00294,0.117,0.881,107.998,4.0,172627.0
2021,0.403,0.537,3.0,-6.628,1.0,0.031,0.59,0.0,0.112,0.414,69.877,4.0,202133.0
2021,0.501,0.815,1.0,-4.865,1.0,0.0436,0.0513,0.0,0.106,0.46,160.087,4.0,224213.0
2020,0.659,0.667,11.0,-4.668,0.0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,4.0,258004.0
2020,0.653,0.623,8.0,-4.56,1.0,0.0244,0.508,3.32e-06,0.285,0.718,100.021,4.0,206507.0
2021,0.471,0.846,0.0,-5.269,1.0,0.0389,0.00279,2.86e-06,0.145,0.539,100.089,4.0,213719.0
2021,0.772,0.563,11.0,-8.188,0.0,0.452,0.0107,0.0,0.304,0.521,160.064,4.0,133631.0
2020,0.39,0.499,7.0,-7.778,1.0,0.0381,0.632,0.000497,0.115,0.34,200.156,1.0,275194.0
2022,0.798,0.572,1.0,-6.627,1.0,0.17,0.027,0.0,0.099,0.293,155.933,4.0,138453.0
2021,0.405,0.565,1.0,-9.266,0.0,0.0372,0.38,0.0195,0.107,0.166,159.892,3.0,214149.0
2021,0.725,0.86,1.0,-3.726,1.0,0.182,0.422,0.000284,0.0674,0.791,175.896,4.0,230125.0
2019,0.757,0.705,2.0,-5.084,1.0,0.0252,0.0375,5.8e-06,0.114,0.855,104.972,4.0,207161.0
2021,0.893,0.463,1.0,-5.301,1.0,0.36,0.199,0.0,0.318,0.591,81.026,4.0,229601.0
2021,0.829,0.512,6.0,-5.865,0.0,0.187,0.492,0.0,0.12,0.638,80.511,4.0,123987.0
2021,0.735,0.446,5.0,-10.232,1.0,0.109,0.0071,1.93e-05,0.173,0.121,150.915,4.0,199093.0
2021,0.437,0.184,1.0,-17.667,1.0,0.0313,0.72,0.00253,0.113,0.247,80.088,4.0,136000.0
2021,0.778,0.934,9.0,-3.488,1.0,0.321,0.184,0.0,0.123,0.803,98.97,4.0,183333.0
2021,0.798,0.545,1.0,-6.466,1.0,0.168,0.00904,9.48e-05,0.258,0.212,118.029,4.0,226653.0
2021,0.639,0.703,4.0,-6.33,0.0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,4.0,207301.0
2020,0.563,0.847,1.0,-4.493,1.0,0.0468,0.0891,0.0,0.121,0.666,96.06,4.0,212720.0
2021,0.442,0.517,9.0,-7.807,1.0,0.0548,0.0699,0.0,0.114,0.2,79.867,4.0,193822.0
2021,0.95,0.693,9.0,-3.424,1.0,0.0898,0.0133,0.0,0.173,0.891,130.02,4.0,184635.0
2021,0.637,0.932,8.0,-3.545,1.0,0.0354,0.06,3.23e-06,0.138,0.771,95.511,4.0,181200.0
2021,0.912,0.655,8.0,-6.029,0.0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,4.0,138293.0
2021,0.736,0.532,1.0,-7.151,1.0,0.265,0.0292,8.86e-06,0.0806,0.273,84.983,4.0,165773.0
2021,0.935,0.807,11.0,-3.838,0.0,0.114,0.0514,0.0,0.349,0.813,106.017,4.0,173182.0
2020,0.57,0.618,10.0,-4.966,1.0,0.0445,0.153,0.0,0.159,0.286,138.034,4.0,231832.0
2021,0.831,0.554,1.0,-9.998,0.0,0.218,0.161,6.12e-05,0.152,0.396,140.026,4.0,168228.0
2021,0.84,0.744,1.0,-4.751,1.0,0.113,0.0181,0.0,0.629,0.171,83.737,4.0,204347.0
2021,0.704,0.778,5.0,-5.331,1.0,0.0971,0.00447,0.0,0.0731,0.821,101.025,4.0,183537.0
2021,0.686,0.385,7.0,-8.35,0.0,0.297,0.614,0.0,0.131,0.147,143.07,4.0,296568.0
2020,0.53,0.524,4.0,-5.751,1.0,0.0327,0.544,0.0,0.11,0.514,150.05,4.0,179214.0
2021,0.475,0.805,10.0,-4.456,1.0,0.0377,0.000453,0.0,0.143,0.488,145.976,4.0,199680.0
2021,0.855,0.488,3.0,-4.601,1.0,0.208,0.506,0.0,0.347,0.619,124.097,4.0,174253.0
2021,0.7,0.49,0.0,-5.187,1.0,0.076,0.186,0.0,0.117,0.569,79.982,4.0,161803.0
2021,0.612,0.423,5.0,-8.062,0.0,0.0508,0.588,0.0,0.117,0.18,135.841,5.0,214093.0
2021,0.777,0.59,0.0,-8.741,0.0,0.286,0.397,0.0,0.169,0.238,147.978,4.0,155738.0
2021,0.721,0.738,7.0,-4.77,1.0,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,4.0,154983.0
2021,0.442,0.612,2.0,-7.222,1.0,0.112,0.584,5.7e-06,0.37,0.178,180.917,4.0,215507.0
2021,0.726,0.728,11.0,-5.775,0.0,0.0408,0.239,0.0,0.177,0.566,115.047,4.0,225502.0
2021,0.621,0.405,1.0,-11.26,0.0,0.437,0.382,0.0,0.152,0.141,98.427,4.0,174549.0
2021,0.767,0.313,7.0,-12.059,1.0,0.0798,0.838,0.0,0.105,0.765,82.582,4.0,210907.0
2021,0.707,0.442,0.0,-10.395,0.0,0.339,0.0698,0.0,0.106,0.344,81.021,4.0,220413.0
2021,0.644,0.648,1.0,-4.601,1.0,0.118,0.276,0.0,0.135,0.44,179.951,4.0,206710.0
2021,0.423,0.667,6.0,-7.012,0.0,0.326,0.758,0.0,0.246,0.496,86.743,4.0,336511.0
2021,0.592,0.342,0.0,-8.93,1.0,0.0339,0.193,0.00245,0.11,0.155,130.953,4.0,241595.0
2021,0.55,0.767,9.0,-6.281,1.0,0.0248,0.00141,3.07e-06,0.143,0.601,104.016,3.0,192027.0
2021,0.509,0.51,4.0,-9.522,0.0,0.425,0.176,0.0,0.223,0.22,82.407,4.0,237263.0
2021,0.563,0.672,9.0,-7.226,0.0,0.0765,0.359,0.0,0.0972,0.284,99.772,4.0,156000.0
2021,0.8,0.541,10.0,-5.05,0.0,0.0375,0.0252,0.0,0.146,0.194,135.99,4.0,183514.0
2021,0.677,0.696,0.0,-6.181,1.0,0.119,0.321,0.0,0.42,0.464,90.03,4.0,198082.0
2021,0.78,0.718,3.0,-3.605,0.0,0.0506,0.31,0.000163,0.0932,0.342,127.949,4.0,199604.0
2020,0.627,0.678,2.0,-4.691,1.0,0.0294,0.185,0.0,0.374,0.724,100.032,4.0,160839.0
2021,0.861,0.637,6.0,-7.701,0.0,0.133,0.392,0.0,0.0929,0.754,87.006,4.0,198621.0
2021,0.776,0.808,11.0,-4.501,1.0,0.117,0.0297,0.000127,0.103,0.494,123.988,4.0,184104.0
2021,0.494,0.771,1.0,-4.309,1.0,0.0626,0.0649,0.0,0.11,0.371,136.053,4.0,228440.0
2021,0.715,0.625,5.0,-5.58,1.0,0.152,0.225,0.0,0.103,0.588,147.97,4.0,233514.0
2021,0.662,0.798,8.0,-5.332,0.0,0.165,0.179,0.0,0.147,0.663,134.999,4.0,229333.0
2021,0.647,0.823,2.0,-4.074,1.0,0.0478,0.0387,0.0,0.74,0.309,150.995,4.0,174805.0
