peak-rank
1
1
1
3
2
1
7
1
9
2
9
3
12
14
15
11
1
15
9
1
17
4
23
1
23
2
27
28
10
25
31
6
11
20
35
34
32
38
39
34
40
43
33
20
14
22
38
37
18
28
3
53
28
6
56
58
50
26
61
39
62
32
65
41
67
68
69
69
38
61
22
74
16
51
68
67
79
20
51
82
83
16
85
68
87
88
89
90
11
93
7
95
96
24
91
64
58
19
3
56
20
68
69
10
4
91
50
95
64
53
1
32
24
32
48
24
48
28
36
53
1
60
66
69
76
78
83
89
90
91
95
9
10
40
37
32
53
59
61
62
67
69
4
80
83
12
92
14
8
99
17
37
30
42
47
63
72
86
88
18
90
66
16
11
90
97
42
42
53
20
22
24
27
25
84
26
26
41
10
35
12
16
28
27
26
13
40
30
16
2
42
43
52
53
58
59
63
64
68
70
77
90
12
41
80
49
1
21
8
6
1
23
13
56
60
67
69
11
75
50
11
58
86
65
90
91
92
93
94
96
1
99
78
79
67
23
30
16
57
89
2
14
16
92
39
86
97
98
92
25
20
39
79
86
88
41
15
51
62
100
14
1
69
70
72
80
54
27
90
6
56
99
88
2
41
26
50
88
89
18
67
100
1
49
27
54
71
80
82
86
14
97
24
3
32
78
68
89
67
94
49
74
2
31
73
81
82
32
15
1
14
40
64
42
45
43
48
55
57
59
60
66
68
84
95
99
9
31
1
12
50
26
26
65
33
75
27
31
7
43
34
53
59
61
63
64
65
71
79
21
83
85
86
47
89
31
19
97
46
13
56
58
60
67
68
70
71
73
10
79
80
29
99
12
19
28
15
62
5
47
12
83
69
8
31
20
9
60
8
13
16
14
19
92
20
25
28
33
52
67
78
82
16
53
35
56
53
52
100
2
1
17
5
2
29
9
31
67
36
49
82
43
91
81
54
22
42
52
8
3
2
30
50
79
84
85
90
54
100
6
1
44
80
82
6
45
89
55
45
100
4
25
46
28
59
66
77
59
30
50
75
55
99
16
27
46
11
65
71
51
75
87
88
69
61
94
56
34
30
10
3
81
12
43
67
47
1
55
61
63
65
71
85
88
89
53
94
96
98
15
20
62
64
68
76
81
84
87
91
51
82
42
24
70
79
74
87
88
78
53
39
76
3
57
71
81
34
25
52
97
64
3
8
6
12
2
74
39
72
61
67
88
29
8
9
51
59
47
42
58
22
13
1
55
64
46
81
62
42
45
54
48
6
15
2
53
39
71
37
73
91
62
96
10
1
62
57
29
33
50
74
100
28
1
31
92
94
12
24
63
66
74
83
84
86
90
92
93
97
14
32
36
1
55
74
29
47
18
48
89
1
2
3
4
5
10
6
8
11
12
71
72
82
86
48
90
92
93
99
9
13
12
16
17
18
19
12
22
23
26
28
32
33
36
39
43
18
46
47
49
50
54
60
61
62
59
21
78
41
39
94
34
40
45
49
52
54
57
61
63
64
67
68
71
75
80
82
85
90
91
41
100
72
65
76
30
1
61
46
86
60
19
23
17
64
72
74
78
79
81
87
94
13
22
33
17
2
69
70
72
1
28
82
86
66
5
92
94
3
16
46
6
50
11
54
57
17
64
67
68
74
86
49
9
64
95
20
97
100
35
12
4
23
65
66
76
32
83
84
35
43
99
47
4
49
13
52
63
65
70
71
75
80
98
