release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,popularity,peak-rank
10/15/2021,day,0.486,0.838,6,-5.407,1,0.0617,0.0523,0,0.0845,0.664,171.963,4,190452,64,53
10/29/2021,day,0.686,0.566,9,-5.977,1,0.0423,0.254,0,0.11,0.542,146.042,4,203381,66,28
8/29/2021,day,0.587,0.561,0,-6.569,1,0.146,0.0466,0,0.109,0.351,80.009,4,243187,76,6
12/4/2020,day,0.571,0.767,2,-5.16,1,0.287,0.336,0,0.0809,0.605,93.421,4,161684,78,56
,,,,,,,,,,,,,,,,56
5/1/2020,day,0.557,0.565,7,-6.12,1,0.026,0.229,3.90E-06,0.119,0.187,125.956,3,226267,64,58
7/9/2021,day,0.434,0.889,9,-5.684,1,0.0509,0.395,0,0.273,0.845,113.326,5,153338,73,50
4/14/2020,day,0.581,0.86,7,-4.092,1,0.039,0.048,0,0.169,0.79,148.318,4,210480,66,26
10/22/2021,day,0.545,0.82,8,-4.489,1,0.275,0.0951,0,0.29,0.357,141.908,4,150476,70,61
10/15/2021,day,0.723,0.516,11,-10.707,0,0.485,0.00311,1.26E-06,0.115,0.223,155.967,4,123077,59,39
6/25/2021,day,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,4,172627,89,62
1/8/2021,day,0.403,0.537,3,-6.628,1,0.031,0.59,0,0.112,0.414,69.877,4,202133,79,32
10/8/2021,day,0.501,0.815,1,-4.865,1,0.0436,0.0513,0,0.106,0.46,160.087,4,224213,75,65
3/27/2020,day,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85E-05,0.1,0.468,115.982,4,258004,77,41
9/25/2020,day,0.653,0.623,8,-4.56,1,0.0244,0.508,3.32E-06,0.285,0.718,100.021,4,206507,68,67
8/20/2021,day,0.471,0.846,0,-5.269,1,0.0389,0.00279,2.86E-06,0.145,0.539,100.089,4,213719,69,68
10/22/2021,day,0.772,0.563,11,-8.188,0,0.452,0.0107,0,0.304,0.521,160.064,4,133631,62,69
12/18/2020,day,0.39,0.499,7,-7.778,1,0.0381,0.632,0.000497,0.115,0.34,200.156,1,275194,81,69
1/13/2022,day,0.798,0.572,1,-6.627,1,0.17,0.027,0,0.099,0.293,155.933,4,138453,65,38
8/20/2021,day,0.405,0.565,1,-9.266,0,0.0372,0.38,0.0195,0.107,0.166,159.892,3,214149,76,61
